"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"14","2015","Cornell","Ivy League",1,"20","Balestrieri, Paul","So","P",15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546998","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546998"
"15","2015","Cornell","Ivy League",1,"40","Le Dorze, Pierre","Fr","OF",13,4,0.368,0.5,0.684,5,19,7,1,1,NA,1,4,4,1,NA,NA,6,NA,NA,NA,NA,NA,167,865,"1652421","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652421"
"16","2015","Cornell","Ivy League",1,"28","Byrne, Michael","Jr","P",12,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439152","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439152"
"17","2015","Cornell","Ivy League",1,"32","Busto, Nick","Sr","P",11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1324535","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324535"
"18","2015","Cornell","Ivy League",1,"22","Upton, Eric","Sr","P",10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1324531","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324531"
"19","2015","Cornell","Ivy League",1,"35","Baur, Trey","Fr","INF",9,5,0.208,0.269,0.25,1,24,5,1,NA,NA,NA,3,1,1,NA,NA,7,NA,NA,NA,NA,NA,167,865,"1652419","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652419"
"20","2015","Cornell","Ivy League",1,"13","Urbon, Kellen","Jr","P",9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1332286","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1332286"
"21","2015","Cornell","Ivy League",1,"16","Lewis, Justin","Fr","P",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652395","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652395"
"22","2015","Cornell","Ivy League",1,"25","Weston, Jacob","So","OF",7,5,0.211,0.211,0.316,NA,19,4,2,NA,NA,NA,2,NA,NA,NA,NA,9,1,NA,NA,NA,NA,167,865,"1546999","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546999"
"23","2015","Cornell","Ivy League",1,"31","McGee, Collin","Jr","C",6,2,0,0.143,0,NA,6,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,1,NA,167,865,"1439154","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439154"
"24","2015","Cornell","Ivy League",1,"39","Lannoo, Peter","Fr","P",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652420","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652420"
"25","2015","Cornell","Ivy League",1,"30","Recto, Eason","Fr","OF",6,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,167,865,"1652418","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652418"
"26","2015","Cornell","Ivy League",1,"33","Suppa, Roberto","Sr","P",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1324534","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324534"
"27","2015","Cornell","Ivy League",1,"37","Brewer, Ray","So","P",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547001","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547001"
"28","2015","Cornell","Ivy League",1,"26","McCulley, Zach","Sr","P",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652392","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652392"
"29","2015","Cornell","Ivy League",1,"12","Veenema, Ryne","So","P",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546997","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546997"
"30","2015","Cornell","Ivy League",1,"21","Horton, Matt","Jr","P",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439149","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439149"
"31","2015","Cornell","Ivy League",1,"7","Soltis, Scott","So","P",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546994","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546994"
"32","2015","Cornell","Ivy League",1,"-","Totals","-","-",NA,NA,0.246,0.329,0.324,172,NA,303,68,5,NA,6,153,130,26,9,9,249,37,7,NA,26,NA,167,865,NA,NA
"33","2015","Cornell","Ivy League",1,"-","Opponent Totals","-","-",NA,NA,0.298,0.367,0.407,239,NA,377,67,8,NA,18,216,107,36,8,20,260,28,20,NA,45,NA,167,865,NA,NA
