"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id","player_id","player_url"
"14","2018","Cornell","Ivy League",1,"40","Ellison, Andrew","So","P",16,16,NA,2.02,26.2,19,9,6,14,26,NA,115,94,3,NA,NA,1,2,4,NA,11,1,3,NA,102,22,28,2,5,3,10,167,865,"1997332","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997332"
"15","2018","Cornell","Ivy League",1,"32","Matton, Kalani","Fr","INF",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997347","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997347"
"16","2018","Cornell","Ivy League",1,"11","Wahl, Austin","Sr","P",16,16,1,2.61,20.2,15,8,6,16,18,NA,97,76,3,1,2,NA,7,3,NA,12,2,1,1,142,21,20,2,NA,NA,10,167,865,"1783016","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1783016"
"17","2018","Cornell","Ivy League",1,"22","Bemiss, Jeb","So","P",15,15,2,6.16,30.2,39,26,21,12,26,NA,144,131,9,2,NA,3,4,1,NA,16,7,NA,NA,253,33,29,2,2,1,10,167,865,"1884390","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884390"
"18","2018","Cornell","Ivy League",1,"13","Saks, Adam","Jr","P",13,13,3,4.8,15,17,12,8,11,12,NA,74,58,2,NA,NA,1,1,3,NA,11,8,1,1,178,24,7,1,NA,NA,4,167,865,"1779079","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779079"
"19","2018","Cornell","Ivy League",1,"20","Urbon, Seth","So","P",12,12,10,5.37,65.1,78,44,39,15,39,NA,292,264,19,3,NA,7,3,6,NA,1,1,5,2,239,72,76,2,2,NA,12,167,865,"1997324","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997324"
"20","2018","Cornell","Ivy League",1,"36","Willittes, Tim","Sr","P",11,11,11,5.56,68,81,47,42,17,54,NA,302,274,23,1,NA,3,9,3,NA,NA,NA,2,6,257,71,69,4,4,NA,24,167,865,"1547000","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1547000"
"21","2018","Cornell","Ivy League",1,"9","Morris, Tommy","Sr","P",9,9,5,4.46,36.1,35,21,18,12,9,NA,164,134,5,2,NA,5,3,14,NA,NA,NA,2,2,74,46,44,NA,3,NA,2,167,865,"1884404","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884404"
"22","2018","Cornell","Ivy League",1,"23","Fernandez, Tyler","Sr","P",9,9,5,9.93,22.2,36,33,25,23,17,NA,128,96,4,2,NA,1,9,2,NA,2,2,2,5,280,23,21,NA,4,NA,2,167,865,"1652394","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652394"
"23","2018","Cornell","Ivy League",1,"7","McMenamy, Owen","Jr","P",5,5,NA,18.9,3.1,8,8,7,6,3,NA,25,18,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,1,167,865,"1778328","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1778328"
"24","2018","Cornell","Ivy League",1,"29","Bailey, Garrett","Fr","P",4,4,NA,11.57,2.1,7,3,3,0,1,NA,14,14,1,NA,NA,NA,1,NA,NA,4,1,NA,NA,33,4,2,NA,1,NA,NA,167,865,"1997331","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997331"
"25","2018","Cornell","Ivy League",1,"26","Davis, Trevor Daniel","Fr","P",4,4,NA,3.38,2.2,4,1,1,2,3,NA,13,10,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,26,3,1,NA,NA,NA,2,167,865,"1997345","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997345"
"26","2018","Cornell","Ivy League",1,"16","Arnold, Austin","Jr","P",3,3,NA,0,3.2,3,1,NA,1,4,NA,17,14,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,47,1,6,NA,NA,NA,1,167,865,"1779080","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779080"
"27","2018","Cornell","Ivy League",1,"8","Binnie, Nicholas","Fr","P",2,2,NA,20.25,1.1,2,3,3,0,1,NA,7,6,1,NA,NA,NA,1,1,NA,2,NA,NA,NA,19,NA,3,1,NA,NA,1,167,865,"1997325","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997325"
"28","2018","Cornell","Ivy League",1,"3","Carnegie, Alex","So","INF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884385","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884385"
"29","2018","Cornell","Ivy League",1,"4","Natoli, John","So","P",1,1,NA,0,1.2,1,NA,NA,0,1,NA,6,6,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,23,2,2,NA,NA,NA,1,167,865,"1884378","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884378"
"30","2018","Cornell","Ivy League",1,"-","Totals","-","-",NA,NA,NA,5.23,325,369,228,189,143,242,NA,NA,NA,78,11,2,21,52,40,NA,NA,NA,18,21,NA,347,333,NA,NA,NA,91,167,865,NA,NA
"31","2018","Cornell","Ivy League",1,"-","Opponent Totals","-","-",NA,NA,NA,4.19,330.2,316,198,154,169,303,1,NA,NA,66,8,1,18,37,41,1,NA,NA,5,14,NA,284,353,NA,NA,NA,91,167,865,NA,NA
