"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"15","2019","Cornell","Ivy League",1,"31","Wyatt, Colby","Jr","P",13,10,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884389","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884389"
"16","2019","Cornell","Ivy League",1,"12","Yacinich, Luke","Fr","P",13,4,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"2111724","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111724"
"17","2019","Cornell","Ivy League",1,"32","Zacharias, Jon","Fr","P",13,8,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"2111755","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111755"
"18","2019","Cornell","Ivy League",1,"22","Bemiss, Jeb","Jr","P",12,6,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884390","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884390"
"19","2019","Cornell","Ivy League",1,"8","Cushing, Kevin","Fr","P",11,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"2111716","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111716"
"20","2019","Cornell","Ivy League",1,"40","Ellison, Andrew","Jr","P",11,2,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997332","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997332"
"21","2019","Cornell","Ivy League",1,"16","Arnold, Austin","Sr","P",8,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779080","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1779080"
"22","2019","Cornell","Ivy League",1,"20","Urbon, Seth","Jr","P",7,7,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997324","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997324"
"23","2019","Cornell","Ivy League",1,"17","Giuliano, Dave","So","OF",7,3,0.071,0.188,0.143,2,14,1,1,0,2,0,NA,2,NA,NA,NA,7,NA,NA,NA,NA,NA,167,865,"1997326","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997326"
"24","2019","Cornell","Ivy League",1,"11","Charles, Lachlan","Fr","OF",6,5,0.077,0.2,0.077,1,13,1,0,0,1,0,NA,2,NA,NA,NA,8,NA,1,NA,NA,NA,167,865,"2111723","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111723"
"25","2019","Cornell","Ivy League",1,"41","Charles, Anthony","Jr","OF",4,1,0.167,0.25,0.167,1,6,1,0,0,1,0,2,NA,1,1,NA,2,NA,NA,NA,NA,NA,167,865,"2111763","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111763"
"26","2019","Cornell","Ivy League",1,"27","Gilbert, William","Fr","P",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"2111734","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111734"
"27","2019","Cornell","Ivy League",1,"19","Lepper, Kaleb","Jr","OF",2,2,0,0.2,0,1,4,NA,0,0,0,0,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,167,865,"1884384","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884384"
"28","2019","Cornell","Ivy League",1,"-","Totals","-","-",NA,NA,0.224,0.304,0.316,129,NA,275,59,7,387,13,115,119,27,14,18,285,28,17,NA,48,NA,167,865,NA,NA
"29","2019","Cornell","Ivy League",1,"-","Opponent Totals","-","-",NA,NA,0.277,0.349,0.392,203,NA,354,69,8,502,21,182,117,32,13,17,249,29,14,NA,42,NA,167,865,NA,NA
