"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"23","2017","Cornell","Ivy League",1,"21","Blackstone, Mitch","So","C",8,4,0.136,0.167,0.182,1,22,3,1,NA,4,NA,2,1,NA,1,NA,10,NA,NA,NA,NA,NA,167,865,"1779088","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779088"
"24","2017","Cornell","Ivy League",1,"31","Wyatt, Colby","Fr","P",8,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884389","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884389"
"25","2017","Cornell","Ivy League",1,"34","Morris, Tommy","Sr","P",5,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884404","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884404"
"26","2017","Cornell","Ivy League",1,"3","Price, C.J.","Sr","C",3,1,0.167,0.375,0.167,2,6,1,NA,NA,1,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,167,865,"1779087","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779087"
"27","2017","Cornell","Ivy League",1,"13","Saks, Adam","So","P",3,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779079","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779079"
"28","2017","Cornell","Ivy League",1,"20","Pannullo, Rob","Sr","P",2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779082","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779082"
"29","2017","Cornell","Ivy League",1,"17","Morris, Parker","So","OF",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779081","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779081"
"30","2017","Cornell","Ivy League",1,"28","Cintron, Nick","Fr","P",1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884387","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884387"
"31","2017","Cornell","Ivy League",1,"-","Totals","-","-",NA,NA,0.295,0.375,0.425,220,NA,373,80,11,538,21,202,137,34,14,3,245,34,18,NA,27,NA,167,865,NA,NA
"32","2017","Cornell","Ivy League",1,"-","Opponent Totals","-","-",NA,NA,0.273,0.347,0.411,185,NA,327,65,7,493,29,171,115,28,13,15,216,25,18,NA,26,NA,167,865,NA,NA
